dept;siren;raison_sociale;nature_juridique;mode_financ;nb_membres;total_pop_tot;total_pop_mun;dep_com;insee;siren_membre;nom_membre;ptot_2026;pmun_2026
44;200000438;CC du Pays de Pontchâteau St-Gildas-des-Bois;CC;FPU;9;37999;37215;44;44050;214400509;Crossac;3033;2974
44;200000438;CC du Pays de Pontchâteau St-Gildas-des-Bois;CC;FPU;9;37999;37215;44;44053;214400533;Drefféac;2327;2288
44;200000438;CC du Pays de Pontchâteau St-Gildas-des-Bois;CC;FPU;9;37999;37215;44;44068;214400681;Guenrouet;3735;3673
44;200000438;CC du Pays de Pontchâteau St-Gildas-des-Bois;CC;FPU;9;37999;37215;44;44098;214400988;Missillac;5808;5709
44;200000438;CC du Pays de Pontchâteau St-Gildas-des-Bois;CC;FPU;9;37999;37215;44;44129;214401291;Pontchâteau;11798;11474
44;200000438;CC du Pays de Pontchâteau St-Gildas-des-Bois;CC;FPU;9;37999;37215;44;44152;214401523;Sainte-Anne-sur-Brivet;3135;3063
44;200000438;CC du Pays de Pontchâteau St-Gildas-des-Bois;CC;FPU;9;37999;37215;44;44189;214401895;Sainte-Reine-de-Bretagne;2518;2484
44;200000438;CC du Pays de Pontchâteau St-Gildas-des-Bois;CC;FPU;9;37999;37215;44;44161;214401614;Saint-Gildas-des-Bois;3930;3860
44;200000438;CC du Pays de Pontchâteau St-Gildas-des-Bois;CC;FPU;9;37999;37215;44;44196;214401960;Sévérac;1715;1690
44;200067346;CA Pornic Agglo Pays de Retz;CA;FPU;15;72000;70563;44;44005;200058121;Chaumes-en-Retz;7577;7440
44;200067346;CA Pornic Agglo Pays de Retz;CA;FPU;15;72000;70563;44;44038;214400384;Chauvé;3109;3070
44;200067346;CA Pornic Agglo Pays de Retz;CA;FPU;15;72000;70563;44;44039;214400392;Cheix-en-Retz;1198;1182
44;200067346;CA Pornic Agglo Pays de Retz;CA;FPU;15;72000;70563;44;44012;214400129;La Bernerie-en-Retz;3581;3536
44;200067346;CA Pornic Agglo Pays de Retz;CA;FPU;15;72000;70563;44;44126;214401267;La Plaine-sur-Mer;4836;4760
44;200067346;CA Pornic Agglo Pays de Retz;CA;FPU;15;72000;70563;44;44106;214401069;Les Moutiers-en-Retz;1981;1939
44;200067346;CA Pornic Agglo Pays de Retz;CA;FPU;15;72000;70563;44;44131;214401317;Pornic;19257;18745
44;200067346;CA Pornic Agglo Pays de Retz;CA;FPU;15;72000;70563;44;44133;214401333;Port-Saint-Père;3111;3059
44;200067346;CA Pornic Agglo Pays de Retz;CA;FPU;15;72000;70563;44;44136;214401366;Préfailles;1360;1321
44;200067346;CA Pornic Agglo Pays de Retz;CA;FPU;15;72000;70563;44;44145;214401457;Rouans;3353;3301
44;200067346;CA Pornic Agglo Pays de Retz;CA;FPU;15;72000;70563;44;44186;214401861;Sainte-Pazanne;7348;7201
44;200067346;CA Pornic Agglo Pays de Retz;CA;FPU;15;72000;70563;44;44164;214401648;Saint-Hilaire-de-Chaléons;2479;2422
44;200067346;CA Pornic Agglo Pays de Retz;CA;FPU;15;72000;70563;44;44182;214401820;Saint-Michel-Chef-Chef;5820;5714
44;200067346;CA Pornic Agglo Pays de Retz;CA;FPU;15;72000;70563;44;44021;200054229;Villeneuve-en-Retz;5207;5120
44;200067346;CA Pornic Agglo Pays de Retz;CA;FPU;15;72000;70563;44;44220;214402208;Vue;1783;1753
44;200067635;CA Clisson Sèvre et Maine Agglo;CA;FPU;16;59477;57726;44;44002;214400020;Aigrefeuille-sur-Maine;4299;4156
44;200067635;CA Clisson Sèvre et Maine Agglo;CA;FPU;16;59477;57726;44;44022;214400228;Boussay;2933;2884
44;200067635;CA Clisson Sèvre et Maine Agglo;CA;FPU;16;59477;57726;44;44037;214400376;Château-Thébaud;3340;3129
44;200067635;CA Clisson Sèvre et Maine Agglo;CA;FPU;16;59477;57726;44;44043;214400434;Clisson;7723;7452
44;200067635;CA Clisson Sèvre et Maine Agglo;CA;FPU;16;59477;57726;44;44063;214400632;Gétigné;3967;3883
44;200067635;CA Clisson Sèvre et Maine Agglo;CA;FPU;16;59477;57726;44;44064;214400640;Gorges;5561;5203
44;200067635;CA Clisson Sèvre et Maine Agglo;CA;FPU;16;59477;57726;44;44071;214400715;Haute-Goulaine;6253;6095
44;200067635;CA Clisson Sèvre et Maine Agglo;CA;FPU;16;59477;57726;44;44070;214400707;La Haie-Fouassière;4870;4775
44;200067635;CA Clisson Sèvre et Maine Agglo;CA;FPU;16;59477;57726;44;44127;214401275;La Planche;2853;2810
44;200067635;CA Clisson Sèvre et Maine Agglo;CA;FPU;16;59477;57726;44;44088;214400889;Maisdon-sur-Sèvre;3148;3095
44;200067635;CA Clisson Sèvre et Maine Agglo;CA;FPU;16;59477;57726;44;44100;214401002;Monnières;2447;2388
44;200067635;CA Clisson Sèvre et Maine Agglo;CA;FPU;16;59477;57726;44;44142;214401424;Remouillé;1969;1932
44;200067635;CA Clisson Sèvre et Maine Agglo;CA;FPU;16;59477;57726;44;44159;214401598;Saint-Fiacre-sur-Maine;1276;1251
44;200067635;CA Clisson Sèvre et Maine Agglo;CA;FPU;16;59477;57726;44;44165;214401655;Saint-Hilaire-de-Clisson;2485;2423
44;200067635;CA Clisson Sèvre et Maine Agglo;CA;FPU;16;59477;57726;44;44173;214401739;Saint-Lumine-de-Clisson;2143;2100
44;200067635;CA Clisson Sèvre et Maine Agglo;CA;FPU;16;59477;57726;44;44216;214402166;Vieillevigne;4210;4150
44;200067866;CC Sèvre et Loire;CC;FPU;11;51480;50240;44;44029;200054815;Divatte-sur-Loire;7371;7252
44;200067866;CC Sèvre et Loire;CC;FPU;11;51480;50240;44;44016;214400160;La Boissière-du-Doré;1126;1106
44;200067866;CC Sèvre et Loire;CC;FPU;11;51480;50240;44;44032;214400327;La Chapelle-Heulin;3538;3467
